station,stationLabel,image
http://www.wikidata.org/entity/Q46331,Gaepo-dong Station,http://commons.wikimedia.org/wiki/Special:FilePath/Korail-Bundang-line-K219-Gaepo-dong-station-platform-20181124-114118.jpg
http://www.wikidata.org/entity/Q46550,Asperg station,http://commons.wikimedia.org/wiki/Special:FilePath/Bahnhof%20Asperg%2027.jpg
http://www.wikidata.org/entity/Q47219,Roodeschool railway station,http://commons.wikimedia.org/wiki/Special:FilePath/20200927%2004%20Roodeschool%20%2850408314177%29.jpg
http://www.wikidata.org/entity/Q47229,Delfzijl railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Delfzijl%20-%20station%20met%20vesting%20in%20bestrating.jpg
http://www.wikidata.org/entity/Q47242,Kropswolde railway station,http://commons.wikimedia.org/wiki/Special:FilePath/20090919%20Station%20Kropswolde%20Gn%20NL%20cropped.jpg
http://www.wikidata.org/entity/Q47242,Kropswolde railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Kropswolde%20-%20station.jpg
http://www.wikidata.org/entity/Q47247,Martenshoek railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Arriva%20Groningen%20Nieuweschans.jpg
http://www.wikidata.org/entity/Q47260,Hoogezand-Sappemeer railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Hoogezand-Sappemeer%20%282024%29-4.jpg
http://www.wikidata.org/entity/Q47267,Sappemeer Oost railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Sappemeer%20Oost%20na%20sluiting.jpg
http://www.wikidata.org/entity/Q47283,Zuidbroek railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Zuidbroek%201900.jpg
http://www.wikidata.org/entity/Q47283,Zuidbroek railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Zuidbroek%20met%20Spurt.JPG
http://www.wikidata.org/entity/Q47288,Scheemda railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Scheemda.jpg
http://www.wikidata.org/entity/Q47295,Winschoten railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Winschoten%20Railway%20Station%20in%202017%2007.jpg
http://www.wikidata.org/entity/Q47303,Bad Nieuweschans railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Nsch%20-%202006.JPG
http://www.wikidata.org/entity/Q47317,Haren railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Haren.JPG
http://www.wikidata.org/entity/Q47326,Assen railway station,http://commons.wikimedia.org/wiki/Special:FilePath/2019-03-31%20Station%20Assen%20%282%29.jpg
http://www.wikidata.org/entity/Q47333,Beilen railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Beilen.JPG
http://www.wikidata.org/entity/Q47337,Hoogeveen railway station,http://commons.wikimedia.org/wiki/Special:FilePath/2023-07-08%20Station%20Hoogeveen%20stationsgebouw%20%283%29.jpg
http://www.wikidata.org/entity/Q47343,Meppel railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Meppel.jpg
http://www.wikidata.org/entity/Q47350,Zwolle railway station,http://commons.wikimedia.org/wiki/Special:FilePath/2007-04-23%2010.24%20Zwolle%2C%20NSstation.JPG
http://www.wikidata.org/entity/Q47350,Zwolle railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Zwolle.jpg
http://www.wikidata.org/entity/Q47350,Zwolle railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Zwolle%2C%20NS%20station.jpg
http://www.wikidata.org/entity/Q49093,Amsa Station,http://commons.wikimedia.org/wiki/Special:FilePath/Seoul-metro-810-Amsa-station-platform-20180914-133624.jpg
http://www.wikidata.org/entity/Q49381,Nagoya Station,http://commons.wikimedia.org/wiki/Special:FilePath/Nagoya-station%20hirokoji-guchi.jpg
http://www.wikidata.org/entity/Q49854,Amersfoort Central railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Amersfoort%20Centraal%20%282024%29.jpg
http://www.wikidata.org/entity/Q49856,Amersfoort Vathorst railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Amersfoort%20Vathorst%2C%20september%202012.jpg
http://www.wikidata.org/entity/Q49866,Amersfoort Schothorst railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Station%20Amersfoort%20Schothorst.jpg
http://www.wikidata.org/entity/Q49868,Hilversum railway station,http://commons.wikimedia.org/wiki/Special:FilePath/NS-station%20Hilversum.jpg
http://www.wikidata.org/entity/Q49870,Duivendrecht railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Binnenzijde%20bovenste%20platform%20station%20Duivendrecht.jpg
http://www.wikidata.org/entity/Q49872,Amsterdam Zuid,http://commons.wikimedia.org/wiki/Special:FilePath/Amsterdam%20Zuid%202022%204.jpg
http://www.wikidata.org/entity/Q49942,Buramsan Station,http://commons.wikimedia.org/wiki/Special:FilePath/Seoul-metro-409-Danggogae-station-platform-20181126-115154.jpg
http://www.wikidata.org/entity/Q49948,Chuncheon Station,http://commons.wikimedia.org/wiki/Special:FilePath/Chuncheon%20station.jpg
http://www.wikidata.org/entity/Q49952,Namchuncheon Station,http://commons.wikimedia.org/wiki/Special:FilePath/New%20Namchuncheon%20Station.jpg
http://www.wikidata.org/entity/Q49954,Gimyujeong Station,http://commons.wikimedia.org/wiki/Special:FilePath/Q49954%20Gimyujung%20Station%20A01.jpg
http://www.wikidata.org/entity/Q49956,Gangchon Station,http://commons.wikimedia.org/wiki/Special:FilePath/Gangchon%20station.JPG
